Time,X,Y,Yaw,Vx,Vy,R
1368862000000,8.674679933352055,0.2995168086312462,0.037180631686492334,3.186936612873072,-0.004872875432244085,0.010510683008459823
1368867000000,8.690602773168823,0.30012383550527233,0.03720050578251464,3.1993517434442267,0.00021855883180409283,0.015970456216539416
1368872000000,8.706617914965424,0.3007346825492839,0.03722049128321799,3.217818100933156,0.004567172591159555,-0.001156533899287564
1368877000000,8.722725349157935,0.3013493542770209,0.037240588318804585,3.238547991667833,0.003432943937286837,0.002744616253630114
1368882000000,8.738925066111555,0.30196785512532826,0.037260796872774817,3.263107028450053,0.006333601366688751,0.0034447121048963407
1368887000000,8.755217056139129,0.30259018949260175,0.03728111685848902,3.291448349902595,0.007652261274596781,0.02042040041176319
1368892000000,8.771601309500557,0.3032163617542183,0.03730154815353956,3.302795034989377,0.0063500286333895446,-0.009717000321755064
1368897000000,8.788077816402586,0.30384637626801947,0.03732209061530045,3.3120699120493606,0.026836482027605236,0.00938717924110613
1368902000000,8.80464656699877,0.3044802373753899,0.037342744087950706,3.3377577697936753,0.016729280229475132,0.012997228890232406
1368907000000,8.82130612024551,0.3051501072574297,0.03740595130138538,3.3539025998874594,0.02890033357326434,0.01675952549433532
1368912000000,8.838057129990549,0.3058409950555138,0.037491672243061686,3.3811365424365847,0.0062457808705975604,0.018660534924700736
1368917000000,8.854899921360524,0.306545379164471,0.03758953930835077,3.3871523901076173,0.02654863077842231,0.024437855470279136
1368922000000,8.871834654026713,0.30725947671597037,0.037694161286124954,3.4119730288735375,0.018027537401015155,0.00896665195293779
1368927000000,8.888861404439064,0.30798137240088547,0.03780270354799389,3.417818168091246,0.020104647820866545,0.033895890556955854
1368932000000,8.90598020680247,0.30871009119525034,0.037913656766210016,3.4441163130172523,0.015211571725503822,0.02094037670380198
1368937000000,8.923191073620854,0.30944513646391153,0.038026206714050145,3.4814563334186306,0.017051229903076018,0.03155215478372648
1368942000000,8.940494006105235,0.31018625762715446,0.03813990825288322,3.479886490668086,0.015458349919023943,0.03185595212085406
1368947000000,8.957888999507158,0.310933332014778,0.03825451466015002,3.502781440671895,0.022549134771334182,0.02268153981767087
1368952000000,8.975376045883372,0.311686304112688,0.03836988718756702,3.5311909312886858,0.03317484672803482,0.02349239431163168
1368957000000,8.992955135470199,0.31244515595474953,0.03848594709062924,3.5360257677237295,0.029988927621469583,0.007725501463773765
1368962000000,9.01062625545116,0.31320994324112145,0.03860266297342676,3.55953198981126,0.018105976540435796,0.01489730907143074
1368967000000,9.028389393299912,0.313980712410593,0.03872001609416752,3.570841018717515,0.0016971153661875325,0.021750009776255557
1368972000000,9.046244536646071,0.31475750422406934,0.03883799521628332,3.583783279682025,0.02739138522544309,0.03148224707373773
1368977000000,9.064191673191587,0.3155403559776221,0.03895659356994485,3.6157241122783272,0.01198932969398378,0.017892567132438215
1368982000000,9.082230790658574,0.31632930287167216,0.03907580705272361,3.631338903869305,0.015421002421082262,0.02741519908838804
1368987000000,9.100361876756685,0.31712437885967454,0.03919563316038964,3.6486590619292696,0.015695306692592066,0.014790286801799954
1368992000000,9.118584919162675,0.3179256171751915,0.0393160703494153,3.675757533602964,0.006885332310526272,0.021431631846851113
1368997000000,9.13689990550758,0.31873305065987545,0.03943711765560567,3.6969502117700164,0.023181224108667547,0.02832200084345106
1369002000000,9.155306823368628,0.31954671196797013,0.039558774465198863,3.6207750008506205,0.019793150855256215,0.01773550395823138
1369007000000,9.173345388590748,0.32033844312113824,0.039667872765159165,3.527526053730248,0.0023494097558265908,0.013561503682516043
1369012000000,9.191015508767824,0.3211111956920073,0.03976832147292104,3.469270681635411,0.018250786876941393,0.017000312635892918
1369017000000,9.208317142431659,0.3218667776290086,0.039862651861616576,3.39105399992581,0.015919359612210488,9.114594480496771e-05
1369022000000,9.225250281459775,0.3226062332664618,0.039952329710512026,3.304425581667947,0.027903404732848882,0.014417394682903654
1369027000000,9.241814936423221,0.3233301774087143,0.04003822872581391,3.235259514369456,0.009720930195619377,0.021269351098767812
1369032000000,9.258011129157232,0.324038966596682,0.04012098495314849,3.1822058501564108,-0.0007677006891161093,0.008720993429482071
1369037000000,9.273838889369209,0.3247327695055354,0.0402010362874125,3.0896655976663703,0.005020280524275514,0.00023199653301645903
1369042000000,9.289298251639213,0.32541163093801195,0.04027867025879973,3.0168375849274573,0.007060006782369068,0.0057380621332828105
1369047000000,9.304389253104489,0.32607552200124257,0.04035406908758168,2.940503624058539,0.031235320888325476,0.01729412966058596
1369052000000,9.3191119318651,0.32672437497116924,0.04042734620431568,2.8564448702741667,0.0016850335509502271,0.002096376240781777
1369057000000,9.333466325997252,0.32735810496217294,0.04049857267400915,2.792654503250719,0.006176069437812124,0.007268198327624699
1369062000000,9.34745247300536,0.3279766219538387,0.04056779460233231,2.71429395706088,0.024475535192296453,0.005349398088300107
1369067000000,9.361070409552498,0.32857983666019364,0.04063504372109448,2.638736481235262,0.017911959744943477,0.018080535760667205
